datetime,Volume Intensity
2023-05-10 00:00:00+00:00,0.114
2023-05-11 00:00:00+00:00,0.0914
2023-05-12 00:00:00+00:00,0.0671
2023-05-13 00:00:00+00:00,0.1623
2023-05-14 00:00:00+00:00,0.2008
2023-05-15 00:00:00+00:00,0.0855
2023-05-16 00:00:00+00:00,0.1338
2023-05-17 00:00:00+00:00,0.1452
2023-05-18 00:00:00+00:00,0.087
2023-05-19 00:00:00+00:00,0.1525
2023-05-20 00:00:00+00:00,0.1819
2023-05-21 00:00:00+00:00,0.2433
2023-05-22 00:00:00+00:00,0.1398
2023-05-23 00:00:00+00:00,0.0912
2023-05-24 00:00:00+00:00,0.0885
2023-05-25 00:00:00+00:00,0.1172
2023-05-26 00:00:00+00:00,0.0736
2023-05-27 00:00:00+00:00,0.1778
2023-05-28 00:00:00+00:00,0.1457
2023-05-29 00:00:00+00:00,0.1118
2023-05-30 00:00:00+00:00,0.0785
2023-05-31 00:00:00+00:00,0.1252
2023-06-01 00:00:00+00:00,0.1292
2023-06-02 00:00:00+00:00,0.1093
2023-06-03 00:00:00+00:00,0.1526
2023-06-04 00:00:00+00:00,0.2064
2023-06-05 00:00:00+00:00,0.068
2023-06-06 00:00:00+00:00,0.0946
2023-06-07 00:00:00+00:00,0.1139
2023-06-08 00:00:00+00:00,0.1152
2023-06-09 00:00:00+00:00,0.0756
2023-06-10 00:00:00+00:00,0.1291
2023-06-11 00:00:00+00:00,0.1477
2023-06-12 00:00:00+00:00,0.0874
2023-06-13 00:00:00+00:00,0.1
2023-06-14 00:00:00+00:00,0.124
2023-06-15 00:00:00+00:00,0.1381
2023-06-16 00:00:00+00:00,0.1535
2023-06-17 00:00:00+00:00,0.1619
2023-06-18 00:00:00+00:00,0.2502
2023-06-19 00:00:00+00:00,0.2329
2023-06-20 00:00:00+00:00,0.152
2023-06-21 00:00:00+00:00,0.1211
2023-06-22 00:00:00+00:00,0.1541
2023-06-23 00:00:00+00:00,0.1406
2023-06-24 00:00:00+00:00,0.2105
2023-06-25 00:00:00+00:00,0.2733
2023-06-26 00:00:00+00:00,0.1699
2023-06-27 00:00:00+00:00,0.1317
2023-06-28 00:00:00+00:00,0.114
2023-06-29 00:00:00+00:00,0.1043
2023-06-30 00:00:00+00:00,0.1866
2023-07-01 00:00:00+00:00,0.2297
2023-07-02 00:00:00+00:00,0.2279
2023-07-03 00:00:00+00:00,0.107
2023-07-04 00:00:00+00:00,0.171
2023-07-05 00:00:00+00:00,0.1011
2023-07-06 00:00:00+00:00,0.1955
2023-07-07 00:00:00+00:00,0.1401
2023-07-08 00:00:00+00:00,0.2648
2023-07-09 00:00:00+00:00,0.225
2023-07-10 00:00:00+00:00,0.1622
2023-07-11 00:00:00+00:00,0.1239
2023-07-12 00:00:00+00:00,0.0981
2023-07-13 00:00:00+00:00,0.0814
2023-07-14 00:00:00+00:00,0.1031
2023-07-15 00:00:00+00:00,0.2533
2023-07-16 00:00:00+00:00,0.1652
2023-07-17 00:00:00+00:00,0.0722
2023-07-18 00:00:00+00:00,0.0939
2023-07-19 00:00:00+00:00,0.1221
2023-07-20 00:00:00+00:00,0.1059
2023-07-21 00:00:00+00:00,0.1207
2023-07-22 00:00:00+00:00,0.1676
2023-07-23 00:00:00+00:00,0.1936
2023-07-24 00:00:00+00:00,0.1274
2023-07-25 00:00:00+00:00,0.0973
2023-07-26 00:00:00+00:00,0.0065
2023-07-27 00:00:00+00:00,0.0031
2023-07-28 00:00:00+00:00,0.0236
2023-07-29 00:00:00+00:00,0.1152
2023-07-30 00:00:00+00:00,0.1701
2023-07-31 00:00:00+00:00,0.0487
2023-08-01 00:00:00+00:00,0.0268
2023-08-02 00:00:00+00:00,0.06
2023-08-03 00:00:00+00:00,0.1072
2023-08-04 00:00:00+00:00,0.098
2023-08-05 00:00:00+00:00,0.1194
2023-08-06 00:00:00+00:00,0.0911
2023-08-07 00:00:00+00:00,0.0092
2023-08-08 00:00:00+00:00,0.0238
2023-08-09 00:00:00+00:00,0.0239
2023-08-10 00:00:00+00:00,0.0248
2023-08-11 00:00:00+00:00,0.0401
2023-08-12 00:00:00+00:00,0.0675
2023-08-13 00:00:00+00:00,0.2327
2023-08-14 00:00:00+00:00,0.0937
2023-08-15 00:00:00+00:00,0.1577
2023-08-16 00:00:00+00:00,0.1442
2023-08-17 00:00:00+00:00,0.1546
2023-08-18 00:00:00+00:00,0.128
2023-08-19 00:00:00+00:00,0.2036
2023-08-20 00:00:00+00:00,0.2913
2023-08-21 00:00:00+00:00,0.0966
2023-08-22 00:00:00+00:00,0.111
2023-08-23 00:00:00+00:00,0.0926
2023-08-24 00:00:00+00:00,0.1119
2023-08-25 00:00:00+00:00,0.069
2023-08-26 00:00:00+00:00,0.1257
